iter	Logloss
0	0.6777009578
1	0.6638492139
2	0.6506372722
3	0.638273385
4	0.6264938295
5	0.6152127983
6	0.6060873515
7	0.5955167683
8	0.5864729164
9	0.5770562522
10	0.5689009251
11	0.5612552086
12	0.5540630049
13	0.5468127664
14	0.5408894456
15	0.5351979712
16	0.5295825689
17	0.5233367818
18	0.5174460837
19	0.5116604909
20	0.5067662843
21	0.5020661119
22	0.4980358084
23	0.4939361382
24	0.4894835125
25	0.4854898128
26	0.48161348
27	0.4782407224
28	0.4748369498
29	0.4717799451
30	0.4684888733
31	0.4656869492
32	0.4629362858
33	0.4600100466
34	0.4576123844
35	0.4550372754
36	0.4531606678
37	0.4509647081
38	0.4492255463
39	0.4468964736
40	0.4447591892
41	0.4425612368
42	0.4410878883
43	0.4393576343
44	0.4379033391
45	0.4362298235
46	0.4350052942
47	0.433238322
48	0.4325907754
49	0.4314235807
50	0.4302839045
51	0.4295291571
52	0.4280804357
53	0.426787963
54	0.4260769387
55	0.424792287
56	0.4237184638
57	0.4228078205
58	0.4216037622
59	0.4204784287
60	0.4196044285
61	0.4189033047
62	0.4181238511
63	0.4173569189
64	0.416667661
65	0.4156051666
66	0.4152251863
67	0.4145840598
68	0.4139799181
69	0.4130209952
70	0.4125524311
71	0.4119800961
72	0.4113553127
73	0.4108737559
74	0.4105994571
75	0.4102660125
76	0.4097593303
77	0.4092744316
78	0.408946049
79	0.4084369293
