iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	213	253	213	340	213	253	340
1	221	257	221	340	221	257	340
2	219	258	219	340	219	258	340
3	222	263	222	340	222	263	340
4	223	264	223	340	223	264	340
5	220	258	220	340	220	258	340
6	225	270	225	340	225	270	340
7	227	267	227	340	227	267	340
8	230	272	230	340	230	272	340
9	236	288	236	340	236	288	340
10	235	286	235	340	235	286	340
11	232	284	232	340	232	284	340
12	233	286	233	340	233	286	340
13	235	289	235	340	235	289	340
14	234	285	234	340	234	285	340
15	234	287	234	340	234	287	340
16	234	287	234	340	234	287	340
17	234	289	234	340	234	289	340
18	238	293	238	340	238	293	340
19	238	293	238	340	238	293	340
20	239	293	239	340	239	293	340
21	237	291	237	340	237	291	340
22	238	292	238	340	238	292	340
23	238	292	238	340	238	292	340
24	238	293	238	340	238	293	340
25	238	292	238	340	238	292	340
26	238	292	238	340	238	292	340
27	238	292	238	340	238	292	340
28	238	292	238	340	238	292	340
29	239	293	239	340	239	293	340
30	239	293	239	340	239	293	340
31	239	293	239	340	239	293	340
32	239	293	239	340	239	293	340
33	238	293	238	340	238	293	340
34	238	293	238	340	238	293	340
35	238	292	238	340	238	292	340
36	239	293	239	340	239	293	340
37	239	294	239	340	239	294	340
38	239	294	239	340	239	294	340
39	238	293	238	340	238	293	340
40	238	292	238	340	238	292	340
41	238	293	238	340	238	293	340
42	238	294	238	340	238	294	340
43	238	293	238	340	238	293	340
44	238	294	238	340	238	294	340
45	238	295	238	340	238	295	340
46	238	295	238	340	238	295	340
47	238	295	238	340	238	295	340
48	238	295	238	340	238	295	340
49	238	295	238	340	238	295	340
50	238	295	238	340	238	295	340
51	238	295	238	340	238	295	340
52	238	295	238	340	238	295	340
53	238	295	238	340	238	295	340
54	238	295	238	340	238	295	340
55	239	296	239	340	239	296	340
56	239	295	239	340	239	295	340
57	240	297	240	340	240	297	340
58	240	297	240	340	240	297	340
59	240	297	240	340	240	297	340
60	240	297	240	340	240	297	340
61	241	298	241	340	241	298	340
62	241	298	241	340	241	298	340
63	241	297	241	340	241	297	340
64	241	297	241	340	241	297	340
65	241	298	241	340	241	298	340
66	241	298	241	340	241	298	340
67	241	297	241	340	241	297	340
68	241	297	241	340	241	297	340
69	241	296	241	340	241	296	340
70	241	296	241	340	241	296	340
71	240	295	240	340	240	295	340
72	241	296	241	340	241	296	340
73	240	295	240	340	240	295	340
74	239	294	239	340	239	294	340
75	240	295	240	340	240	295	340
76	241	296	241	340	241	296	340
77	241	296	241	340	241	296	340
78	241	296	241	340	241	296	340
79	241	296	241	340	241	296	340
80	241	296	241	340	241	296	340
81	241	296	241	340	241	296	340
82	240	295	240	340	240	295	340
