iter	Passed	Remaining
0	1	91
1	2	101
2	4	110
3	6	114
4	7	109
5	8	106
6	10	108
7	11	106
8	13	103
9	14	100
10	15	98
11	16	96
12	18	94
13	19	91
14	21	91
15	22	91
16	24	90
17	25	87
18	26	85
19	27	83
20	28	81
21	30	79
22	31	77
23	32	75
24	33	73
25	34	72
26	35	70
27	37	69
28	38	68
29	40	66
30	41	65
31	42	63
32	43	62
33	44	60
34	46	59
35	47	57
36	48	56
37	49	55
38	51	53
39	52	52
40	53	51
41	55	49
42	56	48
43	57	46
44	58	45
45	59	44
46	60	42
47	61	41
48	62	39
49	63	38
50	64	36
51	66	35
52	67	34
53	68	32
54	69	31
55	70	30
56	71	28
57	72	27
58	73	26
59	74	24
60	75	23
61	76	22
62	78	21
63	80	20
64	81	18
65	82	17
66	83	16
67	85	15
68	86	13
69	87	12
70	88	11
71	90	10
72	91	8
73	92	7
74	93	6
75	94	4
76	96	3
77	97	2
78	98	1
79	99	0
